feat_1,feat_2,target
7.220698243403858,-7.275065509681351,0
-10.701010073763184,-9.54171017338356,2
-9.478437162763722,6.858273403015466,1
-9.706971412796376,-5.18462999976934,0
1.2474038539131111,-9.004510379433228,0
-10.577515036575383,4.097145040146795,1
1.692807116648706,-7.1052853974399754,0
-2.093365034672745,8.86333861709485,1
4.362719633008577,-5.0665803994038825,0
1.2256971083064148,11.9961726191376,1
-9.026349243858416,10.314258915697042,1
-9.074891971750585,6.448764003721424,1
-3.702581564095503,-8.00743067087884,0
-12.648377989476081,14.760849201059685,1
-4.5307356066608895,7.7558801340072465,1
-4.617612437694386,-5.749846468508019,2
-6.393270871588184,1.7699573026467235,1
-1.8903014303501817,-7.5701096224346,0
-10.510753940294045,-7.689528989757663,2
1.029011283820906,-11.436615272886316,0
-4.495635512870789,-6.408989880014417,2
-0.2962716076238179,-11.504806196655167,2
-4.914472897082294,-8.817428574201028,2
-6.02148220305812,-13.862681102885453,2
2.317781947686738,-10.374583946815157,0
-7.409841496444108,-8.253706387153033,2
-4.6465048285333514,-1.4035519469159894,1
1.9006829385339863,4.20823086546398,0
-14.06464920437647,9.544794410246364,1
-8.64471584920368,-9.667525059644579,2
-2.991912337414587,-4.018541193503207,0
-0.030397836558394786,-8.116185283479552,0
-2.366538140736397,7.3021813019779085,1
-14.775211694301174,2.414290975564029,1
-2.4207516323111378,-2.1800267448341337,2
-1.5353796455033786,-15.486389258651545,2
-3.3944237387735883,-6.775678016860642,0
-0.8838360216196826,-7.598373909734363,0
-5.604120358438785,-3.8848220310085715,0
1.3348086571090514,3.6865252260374826,2
-4.145649010890047,-7.0608171075623805,0
-2.50591607756726,-7.628332473942863,2
-6.771034379605406,-9.55102888871436,0
-10.893610249115124,-7.635348848798653,2
-13.426289528531647,12.689619730619906,1
-6.064268976474686,-9.916428981654866,0
3.918773227930103,0.9115295478510594,0
-5.008128836703035,7.219206829301613,1
-8.221471343913036,-1.8841133499732656,1
-3.3917559445118357,-13.700930016253595,0
0.5006560282983177,2.5394497912712444,2
-17.904256115014643,-1.58366115873838,2
2.024450339442054,-13.935600573060084,0
-5.106363846335628,-8.279320535924976,2
-10.938405577005929,-7.381434483397831,0
-6.0049086234231694,-7.942778577872968,2
1.1987835797231003,3.8618507584403012,1
-7.76090721200039,-6.7427368006757655,2
-5.869930390102879,-7.698726902014371,2
3.5767149901468525,-2.0962788765325406,1
-6.612920575891099,-11.741047461879246,0
4.830098044838704,-12.832067639423855,2
-5.617012232584178,-9.577233550616166,2
0.20691091993515176,7.937702959555268,1
-8.13925091726799,10.169960831999795,1
-3.678943267533745,-12.941220282148056,0
0.15237428413750376,-4.186749251507802,2
-15.73296792364813,21.861292887952672,1
-1.673906335707179,2.5606085085708212,0
-9.137674752694208,-6.896255312505875,0
-10.891054185616529,-10.389624833909883,2
-4.051822852467758,7.699388159549978,1
-7.080016431421669,16.11431458653234,1
-4.928735311259381,-10.269950772103552,2
-1.4537446862563397,-5.011368640208585,2
2.7767689878303754,-1.8837046602348488,2
-13.30461787725464,0.22575678626742324,1
-5.167241326929454,1.0947622893857565,2
-3.89983395627845,-0.9208600849462822,0
-7.087488965059558,-1.0869755533239722,2
-1.1452257247733604,-3.820347904251968,2
-4.886899075384493,-6.54726374776077,0
-2.500247070049247,-7.8442369750021355,0
-1.2360019922324024,-15.037773924512262,2
-1.6678796372169478,6.024766051344984,1
-12.502656363945267,4.442399979629764,1
-7.022457051573773,-5.837367490469936,0
-3.0711967759194083,-4.530505476870017,0
-10.366190896567861,8.628683597938313,1
-12.5708324613911,-18.585659894960877,0
-6.8023527855133405,-4.784109312445198,0
-4.698349614634484,4.44033411188735,1
-9.583720564292289,9.317285418069417,1
-2.866740263058157,-14.28634862314996,0
-3.3844449104204646,0.08179200420557109,2
2.0001505222602196,-17.71172991800725,0
-4.031717193303738,-0.3851152079920448,2
-2.803727813787797,-6.807814711246235,0
-3.4422566368981022,-6.826354414582935,2
-8.753396426246189,3.8702413981741213,1
-11.90114455131162,-3.1511620959764715,2
-7.961487851308684,-0.006352930819252478,0
-12.887940915007823,-8.038329730838338,0
-3.208719957760171,-13.45866046507121,0
-4.821166934444378,16.082243740292384,1
-12.455510501289794,-16.204881862500145,2
-9.81673367407392,-2.140566740407894,2
-0.7865274922387924,-0.6661377315018324,1
-5.565680245507923,-8.85769215105665,2
4.3013827682467625,0.2632511285817518,0
-2.907809377000792,-7.1235530647040335,0
-10.320368771683844,14.172580611951368,1
-2.2449857630553343,-3.36677877796839,2
-5.9870906839369,-0.9852525750600343,1
-2.6557033492852042,-6.471490721479199,0
-2.8127860479121694,-5.485791240710869,2
-6.620675676083592,-5.594715170958934,2
-6.407964144027863,8.699595823024636,1
-12.400244084593645,8.152167707296487,1
-7.937427985885682,-9.303075214458941,2
-7.500487221602799,-3.76176139427265,0
-2.9461442928561254,-4.645923630857927,0
-10.635839256598203,-11.970168665406195,2
0.5124409812852351,-13.371147895095913,2
-4.776526115363643,-5.2549073618473265,1
-4.498004858530945,4.686183237117158,1
-8.868143519564494,-5.502954348333994,2
-0.24914453335293318,-2.889766045593455,0
